frame,capture_ms,detect_ms,aim_ms,debug_draw_ms,frame_align_sleep_ms,total_ms
0,5.755299999691488,2.250000000003638,0.0,0.00020000015865662135,9.021999999731634,17.034200000125566
1,1.2085000003025925,1.818499999899359,0.0,0.00020000015865662135,14.06909999968775,17.100900000059482
2,0.9436999998797546,1.920700000027864,0.0,0.00020000015865662135,14.016200000241952,16.884199999822158
3,0.4473999997571809,2.2268000002441113,0.0,9.999985195463523e-05,14.338599999973667,17.016099999636936
4,0.34230000028401264,2.0718000000670145,0.0,9.999985195463523e-05,14.595799999824521,17.01390000016545
5,0.3204999998160929,2.0820999998250045,0.0,0.00019999970390927047,14.598000000205502,17.00440000013259
6,0.34899999991466757,2.5547999998707382,0.0,0.00019999970390927047,14.203900000211434,17.11139999997613
7,0.3535000000738364,2.1148999999240914,0.0,0.00020000015865662135,14.550700000199868,17.02270000032513
8,0.4815999996026221,2.239300000383082,0.0,0.00020000015865662135,14.283099999829574,17.008199999963836
9,0.3486000000521017,2.2776999999223335,0.0,0.00019999970390927047,14.301400000022113,16.931399999975838
10,0.4279999998288986,2.2607000000789412,0.0,9.999985195463523e-05,14.052900000024238,16.746600000260514
11,0.38180000001375447,2.391400000306021,0.0,0.00020000015865662135,14.265099999647646,17.04199999994671
12,0.3329999999550637,2.1115999998073676,0.0,9.999985195463523e-05,14.736800000264338,17.18490000030215
13,0.3311000000394415,2.6076999997712846,0.0,9.999985195463523e-05,14.15050000014162,17.09240000036516
14,0.3027000002475688,2.2496999999930267,0.0,0.0003000000106112566,14.353799999753392,16.909800000121322
15,1.1073000000578759,2.225599999746919,0.0,0.00020000015865662135,13.71019999987766,17.0469999998204
16,0.41030000011232914,2.55620000007184,0.0,0.00019999970390927047,14.203400000042166,17.17449999978271
17,1.1316999998598476,2.3259999998117564,0.0,0.00020000015865662135,13.248599999769795,16.710500000044703
18,1.2237000000823173,2.0445999998628395,0.0,9.999985195463523e-05,13.728500000070198,17.000399999687943
19,1.1319000000185042,1.961900000424066,0.0,9.999985195463523e-05,13.990299999932176,17.087800000354036
20,1.746000000366621,2.011699999911798,0.0,9.999985195463523e-05,13.396499999998923,17.15790000025663
21,1.158800000212068,1.9361999998182,0.0,9.999985195463523e-05,13.984900000195921,17.08359999975073
22,1.1322000000291155,1.9834999998238345,0.0,9.999985195463523e-05,13.949500000308035,17.068600000129663
23,1.1151999997309758,1.8331999999645632,0.0,0.00010000030670198612,14.22229999980118,17.174599999634665
24,1.1181999998370884,1.9228000001021428,0.0,9.999985195463523e-05,14.087100000324426,17.1331999999893
25,1.1464999997770065,1.9084000000475498,0.0,9.999985195463523e-05,13.960799999949813,17.019800000070973
26,1.0108999999829393,1.855999999861524,0.0,9.999985195463523e-05,14.290600000094855,17.16160000023592
27,1.0882000001402048,2.165699999750359,0.0,9.999985195463523e-05,13.822800000070856,17.080999999961932
28,1.0832999996637227,2.3372000000563276,0.0,0.00020000015865662135,13.766900000064197,17.192199999954028
29,1.0706999996727973,1.9176000000697968,0.0,0.00020000015865662135,14.171999999689433,17.16420000002472
30,1.1849000002257526,1.970199999959732,0.0,9.999985195463523e-05,13.984899999741174,17.14350000020204
31,1.155799999651208,2.024600000368082,0.0,0.00010000030670198612,14.066899999761517,17.25190000024668
32,1.1384999997972045,2.0079000000805536,0.0,0.0,13.723300000037852,16.87369999990551
33,1.2535999999272462,2.3734999999760475,0.0,9.999985195463523e-05,13.354200000321725,16.984899999897607
